station,geo_latitude,geo_longitude,available_bikes
Kardinal-Nagl-Platz U,48.197069,16.400874,5
Kärntner Ring,48.202161,16.3713,4
Schottenring U,48.215972,16.372194,16
Strozzigasse,48.207744,16.349122,0
Yppengasse,48.214561,16.335624,23
Stefan-Fadinger-Platz,48.168439,16.354862,1
Brünnlbadgasse,48.215262,16.346523,11
Obere Augartenstraße,48.223,16.374752,18
Marschallplatz,48.165635,16.303146,16
Ober St. Veit U,48.192296,16.274813,34
Auf der Schmelz,48.203673,16.316414,14
Grimmgasse,48.186805,16.327679,20
Parhamerplatz,48.216137,16.328093,14
Kendlerstraße,48.20359,16.30899,0
Dornerplatz,48.221223,16.33459,13
Hernals S,48.22321,16.315256,14
Schmelzbrücke,48.19623,16.330241,12
Michelbeuern-AKH U,48.221804,16.343735,26
Johann-Nepomuk-Vogl-Platz,48.223756,16.337543,6
Mayerhofgasse,48.192892,16.367069,5
Westbahnstraße / Schottenfeldgasse,48.201942,16.343241,6
Vorgartenstraße U,48.223192,16.399795,6
Krieau U,48.214384,16.414663,6
Ottakring S U,48.211841,16.311806,21
Hartmanngasse ,48.187123,16.363965,3
Georg-Ehrlich-Weg,48.261666,16.440139,6
Messe-Prater U2,48.217295,16.406163,30
Loquaipark,48.194597,16.349121,1
Rosensteingasse,48.21955,16.326586,10
Gumpendorfer Gürtel,48.18934,16.338321,34
Burggasse-Stadthalle U,48.203657,16.337419,14
Urban-Loritz-Platz,48.201034,16.337727,24
Hanusch Krankenhaus,48.19853,16.29393,16
Westbahnhof S U / Gerstnerstraße,48.195315,16.337344,25
Wieningerplatz,48.194063,16.31846,17
Markgraf-Rüdiger Straße,48.202473,16.329897,21
Plunkergasse,48.199892,16.327151,14
Selzergasse,48.196802,16.323095,11
Westbahnhof S U / Felberstraße,48.197958,16.3377,29
Kundratstraße,48.176146,16.355224,0
Arthaberplatz,48.173447,16.371831,17
Karmeliterplatz,48.215683,16.379649,15
Fröbelgasse,48.205827,16.330869,4
Reumannplatz U,48.172937,16.378663,23
Brestelgasse,48.214001,16.330753,9
Thaliastraße U,48.207995,16.337984,15
Nussdorfer Straße U,48.231717,16.353124,12
Elterleinplatz,48.218034,16.332358,11
Canisiusgasse,48.229011,16.354359,6
Palffygasse,48.217217,16.337131,24
Gersthof S,48.231029,16.329505,27
Reinprechtsdorfer Brücke,48.189633,16.351143,16
Siebensternplatz,48.202223,16.352486,3
Siebenbrunnenplatz,48.184975,16.352986,0
Rosensteingasse / Blumengasse,48.222824,16.328474,15
Schottenring U /Herminengasse,48.217784,16.373083,1
Josefstädter Straße U,48.212106,16.33912,4
Friedrich-Engels-Platz,48.244111,16.379304,22
Dresdner Straße U,48.237487,16.380363,22
Jägerstraße U,48.235062,16.369919,20
Kultursommer24 - Traisengasse S,48.233821,16.383263,9
Kettenbrückengasse U ,48.196328,16.357468,6
Aumannplatz,48.228561,16.335125,11
Längenfeldgasse U,48.18424,16.333886,30
Althanstraße,48.228936,16.3596,19
Schottentor U,48.214558,16.361492,37
Neubaugasse U,48.198527,16.35093,1
Museumsquartier U2,48.202344,16.361117,20
Johnstrasse U,48.19834,16.318975,12
Turnergasse,48.193083,16.334103,7
Kutschkergasse,48.225707,16.344196,11
Stadion U,48.210893,16.420795,0
Brückengasse,48.19126,16.347918,1
Schuhmeierplatz,48.21069,16.318802,22
Schönbrunn U,48.185845,16.319898,15
Hermesstraße / Oscar-Straus-Park ,48.167976,16.282246,29
Modecenterstraße / The Marks,48.184348,16.413837,11
Am Langen Felde,48.250336,16.450206,0
eLastenräder- Modecenterstraße / The Marks,48.184929,16.413964,1
Pilgramgasse U,48.192945,16.354936,2
eLastenräder - Am langen Felde,48.250224,16.45065,0
eLastenräder - Bruno-Marek-Allee 6,48.227914,16.391516,6
eLastenräder - Am Tabor 23,48.224108,16.391916,3
Franz-Josef Bahnhof,48.225991,16.360327,17
Siebenbrunnenfeldgasse,48.18142,16.352644,0
Klima Biennale - Nordwestbahn-Areal,48.233016,16.377393,11
Nussbaumallee / Campus Wiener Netze,48.181554,16.42316,8
